en_ente;en_nombre;en_subtipo;en_filial;en_oficina;en_ced_ruc;en_fecha_crea;en_fecha_mod;en_imagen;en_direccion;en_referencia;en_casilla;en_casilla_def;en_tipo_dp;en_balance;en_grupo;en_pais;en_oficial;en_actividad;en_retencion;en_mala_referencia;en_comentario;en_cont_malas;en_nomlar;en_patrimonio_tec;en_vinculacion;en_tipo_vinculacion;c_posicion;c_tipo_compania;c_rep_legal;c_activo;c_pasivo;c_es_grupo;c_capital_social;c_reserva_legal;c_fecha_const;c_nombre_completo;c_plazo;c_estatutos;c_direccion_domicilio;c_fecha_inscrp;c_objeto_social;c_fecha_aum_capital;c_rep_jud;c_rep_ex_jud;c_notaria;c_capital_inicial;c_num_acciones;c_cap_pagado;p_c_apellido;p_nit;p_carne_electoral;p_licencia;en_reg_fiscal;en_giro;p_dir;p_din;en_calificacion;c_tamano;s_tipo_soc_hecho;p_p_apellido;p_s_apellido;p_sexo;p_fecha_nac;p_profesion;p_pasaporte;p_estado_civil;p_num_cargas;p_nivel_ing;p_nivel_egr;p_tipo_persona;p_personal;p_propiedad;p_trabajo;p_soc_hecho;p_fecha_ingreso;p_fecha_expira;en_categoria;en_serv_adic;en_comen_adic;en_nombre_largo;en_usuario_crea;en_usuario_mod;en_oficina_mod;en_paga_iva;p_fecha_emision_cedula;p_fecha_expiracion_cedula;p_dependientes;p_oficio;en_domiciliado;c_folio;c_libro;p_carnet_res;p_carnet_min;p_partida_nac;p_fecha_emision_dui;p_fecha_vencimiento_dui;en_banca;p_emp_banc;p_representado;en_coment_act;en_fecha_act;en_nombre2;en_pais_nac;en_rango_ingresos;en_nombre1;en_tipo_segmento;en_segmento_negocio;en_afiliate_code;en_std_industry_code;en_glb_finance_cid;en_pais_residencia;en_base_number;en_ciudad_nac;en_perfil;;;;;;;;;
78525606;NOMBRE_78525606;P;1;122;IDENTIFCR_78525606;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525606;0;NOMLAR_78525606;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525606;;;;105;;IDENTIFD_78525606;N;;;APELLIDOP_78525606;APELLIDOS_78525606;F;Sep 20 1992 12;12:00:00 AM;0;;C;;;;PA;;;;;;;A;;;NOMBRELAR_78525606;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525606;;;NOMBRE1_78525606;92;9299;;;0;1;0;;N;;;;;;
78525614;NOMBRE_78525614;P;1;122;IDENTIFCR_78525614;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525614;0;NOMLAR_78525614;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525614;;;;105;;IDENTIFD_78525614;N;;;APELLIDOP_78525614;APELLIDOS_78525614;F;Jul 24 1969 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525614;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525614;;;NOMBRE1_78525614;92;9299;;;0;1;0;;N;;;;;;
78525622;NOMBRE_78525622;P;1;122;IDENTIFCR_78525622;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525622;0;NOMLAR_78525622;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525622;;;;105;;IDENTIFD_78525622;N;;;APELLIDOP_78525622;APELLIDOS_78525622;M;Nov 18 1970 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525622;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525622;;;NOMBRE1_78525622;92;9299;;;0;1;0;;N;;;;;;
78525630;NOMBRE_78525630;P;1;122;IDENTIFCR_78525630;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525630;0;NOMLAR_78525630;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525630;;;;105;;IDENTIFD_78525630;N;;;APELLIDOP_78525630;APELLIDOS_78525630;F;Feb 12 1990 12;12:00:00 AM;0;;C;;;;PA;;;;;;;A;;;NOMBRELAR_78525630;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525630;;;NOMBRE1_78525630;92;9299;;;0;1;0;;N;;;;;;
78525649;NOMBRE_78525649;P;1;122;IDENTIFCR_78525649;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525649;0;NOMLAR_78525649;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525649;;;;105;;IDENTIFD_78525649;N;;;APELLIDOP_78525649;APELLIDOS_78525649;M;May 20 2002 12;12:00:00 AM;0;;C;;;;PA;;;;;;;A;;;NOMBRELAR_78525649;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525649;;;NOMBRE1_78525649;92;9299;;;0;1;0;;N;;;;;;
78525657;NOMBRE_78525657;P;1;122;IDENTIFCR_78525657;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525657;0;NOMLAR_78525657;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525657;;;;105;;IDENTIFD_78525657;N;;;APELLIDOP_78525657;APELLIDOS_78525657;F;Jan 22 2000 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525657;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525657;;;NOMBRE1_78525657;92;9299;;;0;1;0;;N;;;;;;
78525665;NOMBRE_78525665;P;1;122;IDENTIFCR_78525665;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525665;0;NOMLAR_78525665;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525665;;;;105;;IDENTIFD_78525665;N;;;APELLIDOP_78525665;APELLIDOS_78525665;M;Aug 12 2002 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525665;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525665;;;NOMBRE1_78525665;92;9299;;;0;1;0;;N;;;;;;
78525673;NOMBRE_78525673;P;1;122;IDENTIFCR_78525673;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525673;0;NOMLAR_78525673;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525673;;;;105;;IDENTIFD_78525673;N;;;APELLIDOP_78525673;APELLIDOS_78525673;F;Jul 8 1955 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525673;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525673;;;NOMBRE1_78525673;92;9299;;;0;1;0;;N;;;;;;
78525681;NOMBRE_78525681;P;1;178;IDENTIFCR_78525681;Oct 2 2024 12;12:00:00 AM;Oct 2 2024 12;12:00:00 AM;;1;0;0;;;0;;1;0;1000;S;N;COMENTARIO_78525681;0;NOMLAR_78525681;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525681;;;;;;IDENTIFD_78525681;;;;APELLIDOP_78525681;APELLIDOS_78525681;F;Jan 10 1994 12;12:00:00 AM;2301;;C;;;;PA;0;0;0;0;;;A;;;NOMBRELAR_78525681;ni935133;;;S;;;;;S;;;;;;Mar 24 2017 12;12:00:00 AM;Mar 24 2027 12;12:00:00 AM;;;; ;;NOMBRE2_78525681;;;NOMBRE1_78525681;92;9299;;;0;1;0;;N;;;;
78525690;NOMBRE_78525690;P;1;180;IDENTIFCR_78525690;Oct 2 2024 12;12:00:00 AM;Oct 2 2024 12;12:00:00 AM;;1;0;0;;;0;;1;0;1000;S;N;COMENTARIO_78525690;0;NOMLAR_78525690;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525690;;;;;;IDENTIFD_78525690;;;;APELLIDOP_78525690;APELLIDOS_78525690;F;Apr 13 1989 12;12:00:00 AM;100;;S;;;;PA;0;0;0;0;;;A;;;NOMBRELAR_78525690;ni935256;;;S;;;;;S;;;;;;Feb 28 2022 12;12:00:00 AM;Feb 28 2032 12;12:00:00 AM;;;; ;;NOMBRE2_78525690;;;NOMBRE1_78525690;92;9299;;;0;1;0;;N;;;;
